experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",49,False,miss,0.255929,1.859392,0.309722,0.0,0.0,0.88,0.2,0.6,0.0,0.255929,0.0,1.25,1025.8,-1.0,-99.0,
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",50,False,miss,0.216259,1.815256,0.214416,0.0,0.0,0.15,0.14,0.1,0.0,0.216259,0.0,1.25,1027.7,-1.0,-99.0,
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",51,False,miss,0.252952,1.847591,0.365003,0.0,0.0,1.11,0.25,0.7,0.0,0.252952,0.0,1.26,1032.2,-1.0,-99.0,
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",52,False,miss,0.265385,1.836132,0.25675,0.0,0.0,0.44,0.16,0.2,0.0,0.265385,0.0,1.26,1047.1,-1.0,-99.0,
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",53,False,miss,0.196869,1.835105,0.190721,0.0,0.0,0.37,0.14,0.3,0.0,0.196869,0.0,1.27,1028.2,-1.0,-99.0,
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",54,False,miss,0.195562,1.849541,0.201678,0.0,0.0,0.28,0.14,0.2,0.0,0.195562,0.0,1.25,1022.3,-1.0,-99.0,
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",55,False,miss,0.241495,1.853605,0.297505,0.0,0.0,0.66,0.16,0.4,0.0,0.241495,0.0,1.23,1015.2,-1.0,-99.0,
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",56,False,miss,0.259009,1.829889,0.333475,0.0,0.0,1.04,0.23,0.7,0.0,0.259009,0.0,1.22,1013.9,-1.0,-99.0,
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",57,False,miss,0.238748,1.841424,0.334661,0.0,0.0,1.06,0.24,0.7,0.0,0.238748,0.0,1.25,1030.3,-1.0,-99.0,
exp23_nofreeze,ablationnone__ballspeed7__nofreezefirstplan__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 7, ""--no-freeze-first-plan"": null, ""--no-plot"": null, ""--serve-box"": null}",59,False,miss,0.205261,1.833342,0.201127,0.0,0.0,0.25,0.14,0.2,0.0,0.205261,0.0,1.23,1009.9,-1.0,-99.0,
