experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",48,True,active,0.07642,1.900871,0.07642,45.0,105.0,1.3,0.99,1.5,10.0,0.07642,0.524,3.7,2299.6,5.481,-3.93,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",63,True,active,0.087693,1.923553,0.03491,0.0,0.0,1.22,1.0,1.3,15.0,0.087693,0.779,2.38,1516.5,6.394,3.654,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",57,False,miss,0.25647,1.919477,0.126336,45.0,105.0,1.06,0.99,1.3,0.0,0.25647,0.0,3.46,2341.3,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",67,False,miss,0.321056,1.940524,0.130431,0.0,0.0,1.5,1.0,1.5,0.0,0.321056,0.0,1.92,1196.5,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",68,False,miss,0.341642,1.931387,0.113296,0.0,0.0,1.38,1.0,1.4,0.0,0.341642,0.0,1.95,1249.8,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",59,True,active,0.095751,1.987434,0.018084,0.0,0.0,1.41,0.99,1.2,20.0,0.095751,1.414,3.41,2147.1,6.128,1.121,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",66,True,active,0.079927,1.99151,0.073161,45.0,105.0,1.79,0.97,2.1,20.0,0.079927,1.749,2.38,1727.9,6.002,-1.123,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",70,True,active,0.101675,1.936861,0.096919,45.0,105.0,1.48,0.99,1.5,15.0,0.101675,1.007,2.15,1303.8,5.808,-4.09,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",71,False,miss,0.34624,1.971928,0.123313,0.0,0.0,1.79,1.0,1.5,0.0,0.34624,0.0,1.81,1189.8,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",72,True,active,0.05577,1.957804,0.054612,55.0,105.0,1.6,1.0,1.3,0.0,0.05577,0.832,2.04,1373.2,5.296,-0.907,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",65,True,active,0.109978,1.969705,0.10969,45.0,105.0,1.28,0.99,1.3,10.0,0.109978,0.855,3.62,2292.1,5.223,-3.092,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",69,False,miss,0.357951,1.93345,0.152019,25.0,0.0,1.76,1.0,1.8,0.0,0.357951,0.0,3.01,1526.4,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",64,True,active,0.1283,1.941936,0.101149,45.0,105.0,1.8,0.99,1.6,20.0,0.1283,1.546,3.9,2369.6,6.774,-1.57,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",76,False,miss,0.259008,1.88139,0.186336,0.0,0.0,1.79,0.97,1.6,0.0,0.259008,0.0,2.23,1506.7,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",77,False,miss,0.27344,1.993521,0.109983,10.0,45.0,1.74,0.99,1.6,0.0,0.27344,0.0,1.9,1181.2,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",75,True,active,0.099645,1.958585,0.093529,45.0,105.0,1.79,0.99,1.8,25.0,0.099645,1.628,2.67,1500.2,6.311,-1.003,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",78,False,miss,0.192707,1.844133,0.114686,0.0,0.0,1.31,1.0,1.3,0.0,0.192707,0.0,2.12,1324.5,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",81,True,active,0.119202,1.938341,0.091279,55.0,105.0,1.24,1.0,1.3,10.0,0.119202,0.615,1.87,1134.5,6.02,-2.337,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",80,True,active,0.133242,1.962348,0.102419,55.0,105.0,1.52,1.0,1.7,5.0,0.133242,1.518,2.05,1415.7,5.715,-2.956,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",79,True,active,0.080909,2.005219,0.032041,0.0,0.0,1.8,0.99,1.8,25.0,0.080909,1.759,2.36,1105.2,6.146,2.344,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",82,True,active,0.112971,1.908691,0.055085,20.0,65.0,1.24,1.0,1.2,0.0,0.112971,0.443,2.11,1308.3,5.771,1.209,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",83,False,miss,0.304578,1.965787,0.168063,20.0,0.0,0.96,1.0,0.9,0.0,0.304578,0.0,1.8,1131.1,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",73,False,miss,0.37413,1.957629,0.133915,0.0,0.0,1.73,1.0,1.3,0.0,0.37413,0.0,3.63,1971.0,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",74,False,miss,0.378588,1.953974,0.171305,0.0,0.0,1.79,0.99,2.2,0.0,0.378588,0.0,3.84,2367.9,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",84,False,miss,0.21538,1.830584,0.112024,0.0,0.0,1.8,1.0,1.3,0.0,0.21538,0.0,2.16,1414.3,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",86,False,miss,0.254796,1.910006,0.152532,0.0,0.0,1.52,0.99,1.4,0.0,0.254796,0.0,1.91,1245.0,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",89,True,active,0.113294,1.941581,0.083616,50.0,105.0,1.2,1.0,1.1,10.0,0.113294,0.968,1.81,1217.3,5.316,0.766,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",90,False,miss,0.337239,1.933068,0.151551,30.0,40.0,1.18,1.0,1.5,0.0,0.337239,0.0,1.88,1199.8,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",85,True,active,0.086671,1.980791,0.05018,0.0,0.0,1.78,0.99,1.7,25.0,0.086671,1.755,2.53,1905.4,6.023,2.249,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",92,False,miss,0.330319,1.923864,0.154482,30.0,0.0,1.44,0.99,1.7,0.0,0.330319,0.0,1.79,1121.9,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",95,True,active,0.088139,1.962289,0.088139,40.0,105.0,1.49,1.0,1.2,10.0,0.088139,1.127,1.86,1133.2,6.501,-4.396,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",88,False,miss,0.29593,1.947511,0.130907,40.0,90.0,1.41,1.0,1.8,0.0,0.29593,0.0,2.8,2043.7,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",99,True,active,0.047651,1.944056,0.047651,55.0,105.0,1.49,1.0,1.7,10.0,0.047651,0.792,1.85,1145.9,4.798,-4.405,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",100,True,active,0.122313,1.929139,0.088855,55.0,95.0,1.21,0.99,1.4,10.0,0.122313,0.443,1.86,1129.8,5.671,-3.135,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",101,True,active,0.048923,1.98587,0.044547,0.0,0.0,1.8,1.0,2.3,25.0,0.048923,1.712,1.72,1124.1,6.343,1.205,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",102,True,active,0.118291,1.997839,0.115099,40.0,105.0,1.79,0.98,2.0,25.0,0.118291,1.249,1.78,1207.4,5.797,-1.974,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",87,True,active,0.058398,1.940971,0.058398,40.0,80.0,1.8,1.0,2.1,15.0,0.058398,1.389,3.9,2327.7,6.866,-1.675,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",91,False,miss,0.313779,1.930755,0.165577,20.0,0.0,1.53,1.0,1.6,0.0,0.313779,0.0,3.37,2284.5,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",96,True,active,0.024372,1.955439,0.024372,50.0,105.0,1.71,1.0,1.3,10.0,0.024372,1.245,2.79,1616.1,5.211,-1.775,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",103,False,miss,0.350392,1.978677,0.154699,25.0,0.0,1.8,1.0,1.6,0.0,0.350392,0.0,1.79,1099.8,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",104,True,active,0.056733,1.967865,0.056733,45.0,105.0,1.78,0.99,1.6,15.0,0.056733,1.778,1.8,1126.1,7.554,-5.73,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",94,True,passive,0.086711,2.002329,0.074258,50.0,105.0,1.47,0.98,1.5,15.0,0.086711,0.104,3.26,2097.7,6.013,-0.993,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",93,True,active,0.101245,1.935762,0.097181,40.0,105.0,1.39,1.0,1.5,25.0,0.101245,0.683,3.51,2339.6,6.55,-0.832,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",106,True,active,0.080673,1.99616,0.02666,0.0,0.0,1.78,0.99,1.6,25.0,0.080673,1.435,1.78,1158.9,6.346,2.015,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",105,True,active,0.053017,1.973818,0.044449,45.0,105.0,1.51,0.97,1.5,20.0,0.053017,1.221,2.27,1471.8,5.527,-0.11,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",107,True,active,0.086093,1.947231,0.07757,45.0,105.0,1.77,0.99,1.4,20.0,0.086093,1.179,1.94,1324.9,5.539,-0.571,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",98,False,miss,0.312346,1.926751,0.071586,0.0,0.0,1.52,0.99,1.4,0.0,0.312346,0.0,3.62,2400.5,-1.0,-99.0,
exp25_select_one,ablationselect_one__ballspeed7__noplot__servebox,"{""--ablation"": ""select_one"", ""--ball-speed"": 7, ""--no-plot"": null, ""--serve-box"": null}",97,True,active,0.097643,1.94136,0.046831,0.0,0.0,1.57,1.0,1.4,5.0,0.097643,1.567,3.89,2427.4,5.415,2.176,
