experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",81,True,active,0.127967,1.878503,0.107491,30.0,105.0,1.18,0.99,1.7,5.0,0.127967,0.561,2.85,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",92,True,active,0.149443,1.877606,0.130166,30.0,45.0,1.8,1.0,1.6,15.0,0.149443,1.582,1.56,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",94,True,active,0.097597,1.870285,0.097597,30.0,105.0,1.79,0.99,1.7,10.0,0.097597,1.606,1.36,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",96,True,active,0.11653,1.914177,0.106796,30.0,105.0,1.81,0.99,1.9,15.0,0.11653,1.737,1.32,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",88,True,active,0.136832,1.897834,0.128928,30.0,85.0,1.5,1.0,1.6,10.0,0.136832,1.337,2.84,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",99,True,active,0.147507,1.899468,0.115626,30.0,95.0,1.8,1.0,2.1,10.0,0.147507,1.528,1.8,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",101,False,miss,0.395719,1.85672,0.149567,15.0,0.0,1.79,1.0,1.6,0.0,0.395719,0.0,1.35,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",102,True,active,0.150923,1.894966,0.121952,30.0,80.0,1.79,0.99,2.0,10.0,0.150923,1.674,1.36,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",103,False,miss,0.389742,1.86375,0.159723,15.0,0.0,1.68,0.99,1.8,0.0,0.389742,0.0,1.34,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",104,True,active,0.134244,1.897053,0.10352,40.0,105.0,1.69,1.0,1.7,10.0,0.134244,1.668,1.34,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",107,True,active,0.155727,1.904546,0.138099,30.0,60.0,1.57,0.99,1.4,5.0,0.155727,0.82,1.3,
exp15_speed_v2,ballspeed14__noplot__servebox,"{""--ball-speed"": 14, ""--no-plot"": null, ""--serve-box"": null}",109,True,active,0.113487,1.895106,0.103803,30.0,105.0,1.79,1.0,1.9,10.0,0.113487,1.53,1.49,
