experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",29,True,active,0.032211,1.829229,0.032211,45.0,0.0,1.74,0.99,2.1,0.0,0.032211,0.819,2.25,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",37,True,active,0.04033,1.995297,0.009437,0.0,0.0,1.66,1.0,1.7,10.0,0.04033,1.661,1.49,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",39,True,active,0.093892,1.897449,0.088409,45.0,0.0,1.74,0.99,1.6,5.0,0.093892,0.875,1.52,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",33,True,active,0.125045,1.950037,0.087253,45.0,0.0,1.35,1.0,1.4,10.0,0.125045,0.563,2.88,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",42,True,active,0.063957,1.934816,0.050344,15.0,0.0,1.3,1.0,1.5,15.0,0.063957,0.635,1.58,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",38,True,active,0.090646,1.954148,0.051676,50.0,0.0,1.27,0.99,1.3,10.0,0.090646,1.155,2.01,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",36,True,active,0.119603,1.960268,0.104265,40.0,0.0,1.25,1.0,1.1,5.0,0.119603,0.702,2.41,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",45,True,active,0.07024,1.976097,0.023748,50.0,0.0,1.79,1.0,1.5,10.0,0.07024,1.788,1.6,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",46,True,active,0.006927,1.945795,0.006927,45.0,0.0,1.29,0.98,1.5,5.0,0.006927,0.358,1.49,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",48,True,active,0.102985,1.954129,0.057188,45.0,0.0,1.22,1.0,1.2,5.0,0.102985,0.757,1.5,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",44,True,active,0.080092,1.905311,0.080092,0.0,0.0,1.8,1.0,1.8,15.0,0.080092,1.735,2.09,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",40,True,active,0.046658,1.960363,0.028947,45.0,0.0,1.72,1.0,1.8,10.0,0.046658,1.716,2.32,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",50,True,active,0.057608,1.909722,0.057608,15.0,0.0,1.78,1.0,1.8,15.0,0.057608,1.769,1.49,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",51,True,active,0.10848,1.944385,0.056596,30.0,0.0,1.54,1.0,2.2,15.0,0.10848,1.516,1.64,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",47,True,active,0.065723,1.877404,0.065723,40.0,0.0,1.38,1.0,1.3,5.0,0.065723,0.936,1.96,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",49,True,active,0.088668,1.973793,0.085829,40.0,0.0,1.72,0.97,1.9,10.0,0.088668,1.534,2.03,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",41,True,passive,0.086263,1.926089,0.083086,35.0,0.0,1.8,1.0,2.0,15.0,0.086263,0.223,2.83,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",43,True,active,0.133283,1.89376,0.120506,35.0,0.0,1.78,0.99,2.0,15.0,0.133283,1.474,2.96,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",52,False,miss,0.305231,1.930324,0.134925,10.0,0.0,0.97,1.0,1.0,0.0,0.305231,0.0,1.79,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",54,True,active,0.051937,1.982058,0.051937,0.0,0.0,1.47,1.0,1.5,20.0,0.051937,1.101,1.6,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",55,False,miss,0.295703,1.959828,0.113366,35.0,0.0,1.26,0.99,1.1,0.0,0.295703,0.0,1.52,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",56,False,miss,0.331034,1.953172,0.102189,0.0,0.0,1.78,1.0,2.3,0.0,0.331034,0.0,1.52,
exp17a_noise,ablationnone__ballspeed9__noplot__servebox,"{""--ablation"": ""none"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",57,True,active,0.103904,1.991033,0.047306,45.0,0.0,1.62,1.0,1.3,20.0,0.103904,1.22,1.68,
