experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",3,False,miss,0.342716,1.913843,0.171595,15.0,0.0,1.12,1.0,1.4,0.0,0.342716,0.0,3.3,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",28,False,miss,0.280726,1.900363,0.094141,0.0,0.0,1.3,0.99,1.4,0.0,0.280726,0.0,1.55,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",27,True,passive,0.084451,1.937113,0.071441,45.0,105.0,1.3,1.0,1.3,5.0,0.084451,0.094,1.69,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",19,True,active,0.108847,1.889958,0.08056,0.0,0.0,1.54,0.98,1.6,15.0,0.108847,1.544,2.08,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",22,True,active,0.089807,1.884663,0.065916,0.0,0.0,1.8,0.99,1.9,20.0,0.089807,1.715,2.05,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",26,True,active,0.079216,1.917511,0.079216,0.0,0.0,1.79,0.97,2.0,20.0,0.079216,1.79,2.11,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",24,True,active,0.088386,1.960253,0.073033,20.0,40.0,1.81,0.95,2.0,15.0,0.088386,1.79,2.41,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",31,True,active,0.106362,1.94348,0.106087,40.0,105.0,1.79,1.0,1.6,10.0,0.106362,1.602,1.62,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",30,True,active,0.092887,1.936698,0.061294,0.0,0.0,1.77,0.98,1.8,15.0,0.092887,1.736,1.95,
exp17f_mechanism_perturb,ablationtube_only__ballspeed9__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 9, ""--no-plot"": null, ""--serve-box"": null}",32,True,active,0.107824,1.949081,0.081976,40.0,105.0,1.77,0.99,1.7,15.0,0.107824,1.773,1.67,
