experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,first_plan_ms,ball_out_speed,ball_out_vy,error
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",16,True,active,0.078325,1.962008,0.078325,30.0,85.0,1.81,1.0,2.0,25.0,0.078325,1.726,1.59,1142.3,8.038,-2.086,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",7,True,active,0.009241,1.952282,0.009241,0.0,0.0,1.85,0.99,1.9,15.0,0.009241,1.731,1.63,1072.0,7.105,1.339,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",10,True,active,0.046913,1.986814,0.043725,40.0,105.0,1.8,0.99,1.6,20.0,0.046913,1.752,1.64,1075.7,8.27,-5.354,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",13,True,active,0.033296,1.987522,0.033296,35.0,95.0,1.81,0.91,1.5,25.0,0.033296,1.805,1.66,1150.3,7.578,-2.947,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",18,True,active,0.046281,1.984327,0.045829,35.0,85.0,1.81,0.98,2.1,25.0,0.046281,1.782,1.39,1009.2,7.192,0.947,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",3,True,active,0.07791,1.962413,0.07791,0.0,0.0,2.08,1.14,2.4,20.0,0.07791,1.67,2.03,1494.8,7.907,2.538,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",32,False,miss,1.400269,1.973225,inf,0.0,0.0,0.0,0.0,0.0,0.0,1.400269,0.0,0.24,28.3,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",11,False,miss,0.356395,1.942847,0.198685,0.0,0.0,1.45,1.0,1.3,0.0,0.356395,0.0,2.27,1701.1,-1.0,-99.0,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",19,True,active,0.0614,1.927994,0.0614,35.0,100.0,1.77,1.0,1.9,15.0,0.0614,1.733,1.89,1427.5,7.148,-0.877,
exp24_shared_full,ablationfull__ballspeed9__noplot__perturbsignrandom__randomperturb__servebox__sharedinputfull__spaceperturbm0.1__spaceperturbminm0.0__spatialperturbtargetballstate,"{""--ablation"": ""full"", ""--ball-speed"": 9, ""--no-plot"": null, ""--perturb-sign"": ""random"", ""--random-perturb"": null, ""--serve-box"": null, ""--shared-input-full"": null, ""--space-perturb-m"": 0.1, ""--space-perturb-min-m"": 0.0, ""--spatial-perturb-target"": ""ballstate""}",24,False,miss,0.32069,1.949819,0.143115,25.0,45.0,1.8,0.98,1.8,0.0,0.32069,0.0,1.62,1173.1,-1.0,-99.0,
