experiment,config_id,config_json,seed,hit,hit_type,pos_error,vel_error,min_dist,ball_near_ms,tube_ready_ms,max_tcp,max_qdot,max_face,hit_time_error_ms,hit_pos_error,v_racket_at_hit,wall_time,error
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",55,True,active,0.099982,1.886091,0.086911,35.0,100.0,1.8,0.98,1.7,10.0,0.099982,1.655,2.06,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",48,True,active,0.1526,1.886684,0.120801,40.0,75.0,1.75,0.99,1.5,5.0,0.1526,1.038,2.94,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",61,True,active,0.131362,1.875042,0.10828,35.0,95.0,1.78,1.0,2.0,10.0,0.131362,1.76,1.42,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",64,True,active,0.120042,1.884562,0.100694,30.0,90.0,1.72,1.0,1.4,10.0,0.120042,1.664,1.42,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",60,True,active,0.114973,1.851416,0.103538,30.0,95.0,1.76,0.99,1.8,10.0,0.114973,1.652,2.34,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",65,True,active,0.139311,1.890244,0.120607,35.0,80.0,1.71,0.99,1.6,5.0,0.139311,0.956,1.46,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",66,True,active,0.12539,1.87211,0.110154,35.0,90.0,1.78,0.99,1.8,10.0,0.12539,1.774,1.44,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",56,False,miss,0.343927,1.871376,0.17185,10.0,0.0,1.56,1.0,1.7,0.0,0.343927,0.0,2.88,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",69,True,active,0.146396,1.863853,0.134098,35.0,75.0,1.78,1.0,2.0,5.0,0.146396,1.305,1.45,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",70,False,miss,0.29741,1.919469,0.148875,20.0,50.0,1.36,0.99,1.4,0.0,0.29741,0.0,1.43,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",72,False,miss,0.324205,1.912563,0.144201,15.0,70.0,1.76,0.99,2.1,0.0,0.324205,0.0,1.45,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",62,True,active,0.134397,1.914784,0.10777,35.0,100.0,1.43,1.0,1.7,5.0,0.134397,0.963,2.54,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",73,False,miss,0.346466,1.879805,0.144131,0.0,0.0,1.44,1.0,1.8,0.0,0.346466,0.0,1.53,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",67,True,active,0.10831,1.898575,0.089904,35.0,100.0,1.78,0.98,1.7,5.0,0.10831,1.202,2.15,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",71,False,miss,0.390636,1.857277,0.1312,20.0,90.0,1.76,1.0,1.9,0.0,0.390636,0.0,2.14,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",63,True,active,0.053895,1.86589,0.053895,30.0,105.0,1.79,0.98,1.5,10.0,0.053895,1.779,2.89,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",68,True,passive,0.123085,1.875271,0.097547,25.0,105.0,1.69,1.0,1.8,15.0,0.123085,0.25,2.67,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",78,True,active,0.110123,1.866113,0.098106,30.0,105.0,1.79,0.99,2.2,15.0,0.110123,1.767,1.44,
exp17d_mechanism,ablationtube_only__ballspeed12__noplot__servebox,"{""--ablation"": ""tube_only"", ""--ball-speed"": 12, ""--no-plot"": null, ""--serve-box"": null}",79,True,active,0.04411,1.837379,0.04411,25.0,50.0,1.75,0.98,1.9,15.0,0.04411,1.483,1.42,
